"Element CSS selector","Total # of clicks","Visible","% of total"
"#nome-form","36","Yes","16.90%"
"#bnt-enviar","27","Yes","12.68%"
"html>body>doctype>div.container.corpo-conteudo","20","Yes","9.39%"
"#email-form","19","Yes","8.92%"
"div#assine-agora>a>button.btn.btn-dark","15","Yes","7.04%"
"#texto-chamada","13","Yes","6.10%"
"div#topo>div.jumbotron.jumbotron-with-background","9","Yes","4.23%"
"div#caixa-texto>div.embed-responsive.embed-responsive-16by9>iframe.embed-responsive-item","8","Yes","3.76%"
"div#navbarNav>ul.navbar-nav.ml-auto>li.nav-item>a.nav-link (1)","8","Yes","3.76%"
"html>body>doctype","6","Yes","2.82%"
"html>body>doctype>div.container.corpo-conteudo>nav.navbar.navbar-expand-lg.navbar-light.bg-white>button.navbar-toggler>span.navbar-toggler-icon","5","No","2.35%"
"#formulario","4","Yes","1.88%"
"html>body>doctype>footer.row.row-footer","3","Yes","1.41%"
"div#navbarNav>ul.navbar-nav.ml-auto>li.nav-item.saiba_button>a.nav-link","3","Yes","1.41%"
"div#parte4>div.container.row>div.col-md-8.col-sm-12>div>p.titulo-2","3","Yes","1.41%"
"#logo","3","Yes","1.41%"
"html>body>doctype>footer.row.row-footer>div.col-md-9.organ-footer","3","Yes","1.41%"
"div#topo>div.jumbotron.jumbotron-with-background>div.sumir-pequeno","2","Yes","0.94%"
"span#seta-cima>svg.bi.bi-arrow-up","2","Yes","0.94%"
"div#parte2>div.row>div.container>div.row>div.col-md-4.col-xs-12>div.icone>img","2","Yes","0.94%"
"div#caixa-check>div.lista-check>svg.bi.bi-check-circle","2","Yes","0.94%"
"#img-botao","2","Yes","0.94%"
"div#parte4>div.container.row>div.col-md-8.col-sm-12>div>p.titulo-0","2","Yes","0.94%"
"#parte4","1","Yes","0.47%"
"span#seta-cima>svg.bi.bi-arrow-up>path","1","Yes","0.47%"
"div#caixa-complementar>p.texto-complementar","1","Yes","0.47%"
"div#parte2>div.row>div.col-12>p.titulo-1","1","Yes","0.47%"
"div#caixa-check>div.lista-check>span.texto-check","1","Yes","0.47%"
"div#parte2>div.row>div.container>div.row>div.col-md-4.col-xs-12>div.texto (2)","1","Yes","0.47%"
"html>body>doctype>div.container.corpo-conteudo>nav.navbar.navbar-expand-lg.navbar-light.bg-white>button.navbar-toggler.collapsed>span.navbar-toggler-icon","1","No","0.47%"
"div#parte2>div.row>div.container>div.row>div.col-md-4.col-xs-12>div.icone>img (2)","1","Yes","0.47%"
"#assine-agora","1","Yes","0.47%"
"div#parte4>div.container.row>div.col-md-8.col-sm-12","1","Yes","0.47%"
"#logo-footer","1","Yes","0.47%"
"div#parte2>div.row>div.container>div.row>div.col-md-4.col-xs-12","1","Yes","0.47%"
"div#parte2>div.row>div.col-12 (1)","1","Yes","0.47%"
"#caixa-check","1","Yes","0.47%"
"#navbarNav","1","Yes","0.47%"
"#parte3","1","Yes","0.47%"
