"Element CSS selector","Total # of clicks","Visible","% of total"
"#nome-form","127","Yes","27.91%"
"#email-form","105","Yes","23.08%"
"#bnt-enviar","103","Yes","22.64%"
"html>body>doctype>div.container.corpo-conteudo>nav.navbar.navbar-expand-lg.navbar-light.bg-white>button.navbar-toggler>span.navbar-toggler-icon","25","Yes","5.49%"
"div#assine-agora>a>button.btn.btn-dark","22","Yes","4.84%"
"#img-botao","20","Yes","4.40%"
"div#navbarNav>ul.navbar-nav.ml-auto>li.nav-item>a.nav-link (1)","8","No","1.76%"
"html>body>doctype>div.container.corpo-conteudo>nav.navbar.navbar-expand-lg.navbar-light.bg-white>button.navbar-toggler","7","Yes","1.54%"
"span#seta-cima>svg.bi.bi-arrow-up","4","Yes","0.88%"
"div#parte2>div.row>div.container>div.row>div.col-md-4.col-xs-12>div.icone>img (2)","4","Yes","0.88%"
"div#navbarNav>ul.navbar-nav.ml-auto>li.nav-item.saiba_button>a.nav-link","3","No","0.66%"
"div#topo>div.jumbotron.jumbotron-with-background>div.sumir-pequeno","3","No","0.66%"
"div#parte2>div.row>div.container>div.row>div.col-md-4.col-xs-12>div.icone>img","3","Yes","0.66%"
"div#topo>div.jumbotron.jumbotron-with-background","2","Yes","0.44%"
"html>body>doctype>footer.row.row-footer","2","Yes","0.44%"
"div#parte2>div.row>div.col-12>p.titulo-1","2","Yes","0.44%"
"html>body>doctype>div.container.corpo-conteudo>nav.navbar.navbar-expand-lg.navbar-light.bg-white>button.navbar-toggler.collapsed","2","No","0.44%"
"html>body>doctype>footer.row.row-footer>div.col-9.organ-footer","1","No","0.22%"
"html>body>doctype>div.container.corpo-conteudo>nav.navbar.navbar-expand-lg.navbar-light.bg-white>button.navbar-toggler.collapsed>span.navbar-toggler-icon","1","No","0.22%"
"html>body>doctype>div.container.corpo-conteudo","1","Yes","0.22%"
"#formulario","1","Yes","0.22%"
"div#parte2>div.row>div.container>div.row>div.col-md-4.col-xs-12 (2)","1","Yes","0.22%"
"div#topo>div.aparecer-medio","1","Yes","0.22%"
"#logo-footer","1","Yes","0.22%"
"div#caixa-check>div.lista-check>svg.bi.bi-check-circle (2)","1","Yes","0.22%"
"div#parte2>div.row>div.container>div.row>div.col-md-4.col-xs-12>div.icone>img (1)","1","Yes","0.22%"
"#topo","1","Yes","0.22%"
"div#caixa-check>div.lista-check>span.texto-check","1","Yes","0.22%"
"div#parte2>div.row>div.col-12>p.text_item1","1","Yes","0.22%"
"div#parte2>div.row>div.col-12","1","Yes","0.22%"
