"% of page scrolled","Pixels scrolled","# of visitors","% of visitors"
"5%","182","315","100.0%"
"10%","364","315","100.0%"
"15%","546","311","99.0%"
"20%","729","297","94.3%"
"25%","911","278","88.3%"
"30%","1093","246","78.4%"
"35%","1276","218","69.5%"
"40%","1458","210","66.7%"
"45%","1640","200","63.5%"
"50%","1823","199","63.2%"
"55%","2005","194","61.9%"
"60%","2187","189","60.0%"
"65%","2369","185","59.0%"
"70%","2552","178","56.8%"
"75%","2734","175","55.6%"
"80%","2916","171","54.3%"
"85%","3099","169","53.7%"
"90%","3281","164","52.1%"
"95%","3463","159","50.5%"
"100%","3646","93","29.8%"
